Maturity,Spot Rates
0.083333333,0.03270839809288795
0.333333333,0.036856895044248716
0.583333333,0.037251443761248115
0.833333333,0.03424580836135105
1.083333333,0.03481373355258999
1.333333333,0.034992635071102285
1.583333333,0.03591362803072462
1.833333333,0.035869899814230166
2.083333333,0.03587501520049008
2.333333333,0.03605613228394722
2.583333333,0.03615017221258654
2.833333333,0.03629791985683406
3.083333333,0.03637715305667166
3.333333333,0.036505247871333246
3.583333333,0.037062123997424035
3.833333333,0.036661195218739895
4.083333333,0.03687366671229331
4.333333333,0.03752652343272889
4.583333333,0.03732236150941404
4.833333333,0.03788580958011156
5.083333333,0.03769435716978986
5.333333333,0.03809445952645296
5.583333333,0.03794177206575933
5.833333333,0.03956332298810361
6.083333333,0.039807057604408946
6.333333333,0.04025936887318249
6.583333333,0.04052083508248305
6.833333333,0.04084275523355174
7.083333333,0.041202116562056634
7.333333333,0.04144654697129857
7.583333333,0.041731171849479054
7.833333333,0.04190959089905766
8.083333333,0.042094467251065026
8.333333333,0.04238987418545914
8.583333333,0.04248293861740571
8.833333333,0.042602365756010396
9.083333333,0.04287906722919965
9.333333333,0.04304564842601177
9.583333333,0.04317125808199407
9.833333333,0.04324187921914824
10.08333333,0.04336906142723196
10.33333333,0.04359698942697099
10.58333333,0.04386134888929494
10.83333333,0.04391932764895978
11.08333333,0.04413642460347633
11.33333333,0.04440442772971709
11.58333333,0.044692878600752106
11.83333333,0.044782434646008173
12.08333333,0.0449676481002248
12.33333333,0.045145764520821974
12.58333333,0.04535988936252977
12.83333333,0.045354026193924035
13.08333333,0.04551297363684048
13.33333333,0.04569362152029699
13.58333333,0.046021362276042144
13.83333333,0.04606351076804893
14.08333333,0.0461698965205648
14.33333333,0.04627076389385909
14.58333333,0.0463251179428954
14.83333333,0.04638805324816708
15.08333333,0.04644583944053515
15.33333333,0.04667427019477621
15.58333333,0.046721096220342595
15.83333333,0.046897341093723455
16.08333333,0.046987183311399505
16.33333333,0.04701803943013649
16.58333333,0.04712389428372177
16.83333333,0.047290967726178135
17.08333333,0.04730571287251495
17.33333333,0.0473817112163335
17.58333333,0.04741237344300897
17.83333333,0.047424384292484856
18.08333333,0.04749710559300935
18.33333333,0.0474717257813837
18.58333333,0.04748046543161388
18.83333333,0.047470436921569714
19.08333333,0.04749417865713834
19.33333333,0.047498994903842906
19.58333333,0.04749797639835007
19.83333333,0.047451790210443434
20.08333333,0.04746509179696412
20.33333333,0.04748538661443602
20.58333333,0.04752567438100863
20.83333333,0.04744213310415191
21.08333333,0.047391585180505125
21.33333333,0.047425951572150904
21.58333333,0.047401705176111086
21.83333333,0.047253805481983324
22.08333333,0.04735962521466419
22.33333333,0.047341622682501416
22.58333333,0.04710881197247474
22.83333333,0.04722010598574666
23.08333333,0.04720757876606152
23.33333333,0.04714898774855136
23.58333333,0.047122347429839895
23.83333333,0.046854790291864123
24.08333333,0.04655544124917688
24.33333333,0.046843019256050944
24.58333333,0.04670938652918322
24.83333333,0.04649095569724615
25.08333333,0.04653635373790399
25.33333333,0.04662628768064403
25.58333333,0.04660494220431444
